boundary,,0,,25,,50,,75,,100,,125,,150,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-22.23127569650069,5806.757080014915,4976.19832667261,5556.752824818115,4425.7413242862485,5587.698858572176,3880.8727178632016,5613.021074724673,3247.0104079813705,5649.169891607453,2140.5080072453356,5716.68577671714,273.32276242776254,5627.426468474133,139.35148500618175,4688.128633449269
6742.281676777552,5843.35700526146,5049.658692964551,5330.988125700783,4544.059083982636,5288.674161179924,4010.0668180903376,5359.2876570541075,3409.133981196631,5474.771398177133,2307.82938960927,5610.164055087514,407.14381415140485,5548.99376096141,273.2025818694116,4604.042034444065
6742.371812196315,2688.3953307840343,5122.818607860615,5161.762341508265,4645.641700928669,5000.867025099882,4100.292372272219,5116.651505132083,3509.9654696529724,5328.311549409129,2452.7370978407753,5537.445386849109,552.111612662086,5464.967309738042,390.28849084270166,4536.826888243554
7003.6143009114185,2689.8088036571544,5195.888387337915,5009.498231793191,4746.713550501712,4809.176044392025,4179.281044248297,4896.570771398149,3599.740346741037,5170.483769874326,2592.29677122567,5425.119404272415,697.0493660331791,5386.594750007155,535.2262442137952,4458.4543285126665
7000.820102929762,2169.62071245794,5279.9246427647295,4885.563727322361,4970.519795290534,4533.33831689713,4320.012478077112,4563.743020614676,3701.35300882666,4877.022742301803,2910.7452057157648,5121.523475460709,830.8704177568217,5308.162042494433,685.7223484086143,4380.111842672697
6483.863431183693,2172.477732095098,5352.724015985741,4784.18464103962,5182.758661338088,4342.248814007623,4432.14093901843,4383.419970673618,3758.1984129265984,4639.860038526755,3028.462062620397,4935.576607918087,981.5167476495793,5201.550099192056,797.3400419769417,4295.904948103824
6486.627584025762,1652.319714786801,5475.8189528765715,4632.191196342805,5406.084183893507,4156.873350392432,4577.439234064576,4237.200713032954,3809.3352405048745,4430.936718323197,3084.6164285098193,4828.453408470114,1126.6648169977866,5083.6002990137995,942.4580661855613,4183.609039418047
5969.7310025588695,1643.8689514389957,5621.147293062306,4480.318047209657,5579.0840976395175,4027.7661366837983,4711.440556625746,4124.844656565342,3838.0884390903084,4250.162560018376,3124.1257870676523,4715.586095856906,1293.9561542221331,4982.732468876656,1048.547454069751,4093.7181794657754
5978.323912480953,26.855984589288937,5721.7384204019445,4379.089330381505,5757.732497628016,3881.7273223886386,4867.61519220264,4023.916678646364,3905.569822604297,4103.522267904867,3197.8866047554707,4433.282481814758,1450.2810154969675,4853.53503349527,1199.1336936833331,3998.4140191483616
4938.912308444266,21.23216698772464,5827.917943704898,4272.236795951788,5908.5590983583,3741.1920301313726,5012.673126132085,3922.928552945551,3995.0742934360724,3996.579511802398,3232.378425002157,4218.615048445966,1589.810643742274,4746.862942411059,1310.7513872516606,3914.2071245794887
4935.877749345908,592.2752077283553,5922.920675081224,4176.6318967252,6182.450590839828,3454.317184669772,5207.816307754234,3810.9033092780323,4140.2524079238665,3872.9758201316586,3288.893332566632,4043.645151088214,1684.9335556769506,4628.642477214544,1450.190880078204,3824.496707972721
